"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"5V1,BATT1,VBUS1","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","~","3","","",""
"A1,A2,A3","A0","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~","3","","Excluded from BOM",""
"BZ1","Buzzer","Bluetooth Pump V2:ST-0503 BUZZER","~","1","","",""
"C1","22u","Capacitor_SMD:C_0402_1005Metric","https://www.digikey.co.nz/en/products/detail/samsung-electro-mechanics/CL05A226MQ5N6J8/7320595","1","","",""
"C2,C4,C5,C13,C19","1uF","Capacitor_SMD:C_0402_1005Metric","https://www.digikey.co.nz/en/products/detail/tdk-corporation/C1005X5R1E105K050BC/3648556?s=N4IgjCBcoKxaBjKAzAhgGwM4FMA0IB7KAbRAGYA2CgDjICYQBdfABwBcoQBlNgJwEsAdgHMQAX3xgALPBBJIaLHkIlwMAJx0pAdhCSADNW1SGzEO048BI8ZIqz5inPiKRSZdWBjUmrDpG4%2BIVEJcF1oORQMZxU3EBMtfV0zCwCrYNsQCnUHKKUXVSl9dSkwexT-QOsQyXVqHIjHaOVXUn0mULp9KQbEPJjW8AACAFaAMV9zSoBVQX42AHlkAFlsVEwAV15sTIBaBkaoPg2W1ThGUN3eyMhj07iIC7ExIA,~","5","","",""
"C3,C9,C12,C20,C21,C22","100nF","Capacitor_SMD:C_0402_1005Metric","https://www.digikey.co.nz/en/products/detail/murata-electronics/GRM155C71H104JE19D/8323490,~","6","","",""
"C6,C7","12pF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C8","2.2uF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C10,C14,C15,C16,C24","10uF","Capacitor_SMD:C_0402_1005Metric","~","5","","",""
"C11,C28","100uF","Capacitor_SMD:C_1210_3225Metric","~","2","","",""
"C17,C18","4.7uF","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C25,C26,C27","10nF","Capacitor_SMD:C_0402_1005Metric","~","3","","",""
"D1","SD103AWS","Diode_SMD:D_SOD-323","~","1","","",""
"D2","LED Green","LED_SMD:LED_0603_1608Metric","~","1","","",""
"D3","LED Red","LED_SMD:LED_0603_1608Metric","~","1","","",""
"D5,D6,D7","LED Blue","LED_SMD:LED_0603_1608Metric","~","3","","",""
"FB1","Ferrite Bead","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"H2","MountingHole","MountingHole:MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom","~","1","","",""
"J1","Pot Connect","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~","1","","",""
