Desgnator,Mid X,Mid Y,Layer,Rotation
C1,31.45,-22.95,top,90
C2,32.69,-22.95,top,90
C3,33.93,-22.95,top,-90
C4,35.47,-23.42,top,0
C5,47.58,-50.87,top,90
C6,37.11,-28.61,top,-90
C7,37.11,-32.62,top,-90
C8,44.09,-51.67,top,90
C9,44.56,-50.23,top,180
C10,47.75,-48.74,top,90
C11,40.79,-49.695,top,-90
C12,50.84,-48.56,top,0
C13,50.88,-49.61,top,0
C14,60.24,-55.97,top,0
C15,50.63,-61.01,top,-90
C16,59.74,-43.94,top,0
C17,38.67,-41.54,top,180
C18,47.37,-43.88,top,-90
C19,38.67,-40.53,top,180
C20,37.2,-40.03,top,-90
C21,60.25,-53.89,top,0
C22,60.23,-54.93,top,0
C23,36.65,-58.45,top,0
C24,50.88,-50.67,top,0
C25,55.72,-63.09,top,0
C26,33.58,-33.18,top,0
C27,33.45,-31.56,top,90
C28,60.19,-40.565,top,90
D1,36.63,-60.6,top,90
D2,57.7075,-54.25,top,0
FB1,35.155,-51.31,top,0
L1,59.2,-58.55,top,-90
Q1,60.198,-46.95,top,180
Q2,32.4525,-55.41,top,180
R1,37.04,-22.96,top,-90
R2,48.16,-56.09,top,90
R3,35.45,-54.87,top,180
R4,38.2,-59.97,top,-90
R5,37.12,-30.64,top,-90
R6,37.72,-42.6,top,0
R7,35.17,-52.37,top,0
R8,41.19,-57.81,top,180
R9,41.2,-55.11,top,180
R11,43.84,-58.95,top,90
R12,45.86,-58.95,top,90
R13,41.2,-54.09,top,180
R16,55.125,-54.57,top,180
R17,50.62,-58.96,top,90
R18,50.14,-57.47,top,180
R19,47.84,-45.36,top,0
R20,43.65,-46.63,top,0
R22,35.17,-26.59,top,0
R24,54.05,-61.41,top,-90
R25,55.68,-61.93,top,0
R29,33.58,-34.25,top,180
R31,33.45,-29.47,top,90
U1,47.53,-26.26,top,0
U3,44.84,-55.34,top,90
U4,55.24,-46.7772,top,180
Y1,35.29,-30.55,top,90
D3,40.47,-42.0575,bottom,90
D5,40.34,-36.75,bottom,-90
D6,38.6,-36.75,bottom,-90
D7,36.88,-36.75,bottom,-90
R10,51.88,-33.13,bottom,0
R21,51.75,-21.9,bottom,0
R26,40.38,-34.17,bottom,90
R27,38.6,-34.15,bottom,90
R28,36.81,-34.2,bottom,90
